,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R5_1,R5_2,R5_3,R5_4,R5_5,R5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,363,369,811,547,1351,1587,3039,3224,822,1395,2126,827,2401,2287,500,88,133,163,501,472,489,1112,816,1072,411,449,280,1262,208,881,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Dokdonella_A,s__Dokdonella_A soli
ASV2,446,466,662,880,1185,795,803,954,1365,1684,1011,1539,481,1216,312,545,1229,1247,411,246,344,342,436,245,1400,786,533,1156,649,339,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV3,0,818,58,676,1181,127,1255,1835,647,2217,1344,497,0,744,802,632,1320,1387,417,87,350,259,1052,856,325,343,431,473,139,323,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,s__Polaromonas ginsengisoli
ASV4,782,54,125,1199,600,691,370,117,1474,103,368,2012,1355,2040,836,949,159,264,2826,297,84,110,342,0,914,192,1021,253,427,310,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV5,0,62,590,22,77,26,1381,784,671,1556,1370,651,654,708,236,43,286,264,17,1472,1181,800,620,1812,194,136,112,1343,33,158,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,Unassigned,Unassigned,Unassigned,Unassigned
ASV6,0,86,273,132,140,144,1218,1074,79,1285,952,198,510,298,0,122,0,71,275,881,1318,1752,1563,1621,138,403,425,582,124,194,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV7,364,419,828,12,957,1056,42,14,101,4,36,205,219,541,558,353,182,311,706,515,338,905,232,532,1755,1289,1267,1462,800,795,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV8,184,902,53,155,758,447,1138,877,243,900,915,182,504,521,194,755,299,219,560,292,419,389,763,405,458,258,791,758,161,427,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV9,16,16,0,78,0,0,279,2049,53,291,1486,2,49,75,0,114,79,39,235,64,1483,1354,446,1779,258,409,309,259,88,1674,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,Unassigned
ASV10,334,104,0,203,129,473,967,740,281,738,803,617,702,361,257,77,154,374,127,408,787,482,690,380,387,516,252,295,75,620,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV11,1318,324,347,542,156,696,313,208,399,186,368,384,2124,931,224,53,891,165,63,295,234,250,187,120,130,124,72,309,234,224,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV12,73,867,790,524,417,394,32,8,397,45,66,288,88,0,366,418,419,800,1446,13,16,24,45,0,371,84,826,526,2536,115,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
ASV13,334,329,175,336,345,632,407,491,1515,280,485,1148,452,308,340,146,18,77,153,182,571,286,320,419,386,340,467,129,9,426,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parablastomonas,s__Parablastomonas arctica
ASV14,47,334,34,184,171,74,5,165,212,8,87,291,161,561,313,134,919,390,3043,593,103,223,101,167,358,412,856,684,366,220,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597432,f__Rhodocyclaceae,g__Desulfobacillus,Unassigned
ASV15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,634,657,3038,1241,1990,2281,7,0,65,0,10,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,g__Herminiimonas_567463,Unassigned
ASV16,103,60,90,0,54,0,19,0,0,0,41,0,394,79,0,53,0,37,58,32,1789,1643,1096,1289,142,117,554,1069,83,351,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,3995,567,147,3047,185,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV18,106,173,308,120,140,0,2184,1092,0,1635,1153,198,125,253,322,0,0,0,14,0,24,84,49,0,8,113,8,13,71,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Variovorax,Unassigned
ASV19,199,210,222,567,509,136,624,515,242,755,535,276,156,381,0,512,281,75,170,338,264,256,483,421,132,104,77,28,0,1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,s__Mesorhizobium_F_498388 qingshengii
ASV20,12,91,235,30,105,62,791,943,48,434,1054,0,210,275,359,80,59,0,56,303,232,239,455,462,22,30,351,1053,101,509,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales_400645,f__Streptomycetaceae_400641,g__Streptomyces_G_399870,Unassigned
ASV21,183,56,1245,0,158,1653,11,5,59,0,195,511,1579,1881,522,0,0,0,333,36,14,14,0,40,132,25,4,70,123,19,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,s__Rudaea cellulosilytica
ASV22,0,25,36,170,73,519,482,965,698,882,651,91,231,256,89,97,61,141,440,207,154,241,282,262,217,143,90,284,149,351,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV23,0,60,121,0,59,0,688,588,76,365,619,15,16,93,189,0,0,4,105,460,388,799,362,510,52,284,1118,430,63,135,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter_487784,Unassigned
ASV24,245,1901,582,406,689,0,64,141,163,774,140,709,0,0,375,187,71,317,76,0,0,0,0,0,202,0,0,31,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Aquabacterium_A,Unassigned
ASV25,602,141,80,239,158,958,96,46,81,67,85,429,457,2461,255,398,72,112,211,112,125,55,163,57,226,15,86,118,45,79,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,Unassigned,Unassigned
ASV26,0,328,91,71,2254,291,29,0,0,231,111,323,0,0,160,275,0,8,71,27,459,87,223,824,0,11,0,0,198,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV27,8,185,112,44,75,0,318,526,37,223,328,198,347,159,865,0,129,62,72,460,0,0,0,30,230,376,457,242,142,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Ideonella_A_591966,Unassigned
ASV28,49,0,0,85,0,115,152,149,0,63,60,0,196,312,30,0,149,15,102,630,845,548,515,464,97,166,92,49,0,385,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV29,0,125,0,180,9,3,286,184,218,427,188,45,0,339,194,0,130,22,204,396,209,428,320,255,136,52,569,25,157,137,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Niastella,Unassigned
ASV30,0,300,125,94,56,88,149,340,215,343,261,30,0,603,0,329,6,58,173,177,314,179,436,281,97,55,168,117,122,25,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,Unassigned
ASV31,295,302,0,0,30,573,245,432,152,74,231,254,6,27,812,119,201,33,106,0,0,7,11,0,495,150,0,265,123,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Rhizobacter_590950,s__Rhizobacter sp000799305
ASV32,0,90,26,74,156,900,31,67,177,43,147,334,355,130,30,117,392,18,41,176,80,119,41,95,252,212,162,244,201,139,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,s__Devosia_A_501803 humi
ASV33,0,186,0,153,109,0,520,192,57,530,287,218,153,65,0,99,0,0,62,20,57,23,93,83,414,241,1232,62,0,128,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV34,0,70,127,30,0,0,17,166,330,345,194,0,0,0,32,0,16,11,11,68,186,579,280,2047,42,10,25,101,8,303,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales_400645,f__Streptomycetaceae_400641,g__Streptomyces_G_399870,Unassigned
ASV35,36,417,442,0,50,0,402,190,0,657,99,51,40,111,408,0,470,112,33,102,181,10,87,4,82,9,28,23,281,22,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV36,0,56,0,65,0,0,107,141,0,33,141,0,24,16,0,0,0,0,391,308,447,921,380,768,0,33,288,56,36,136,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Afipia,Unassigned
ASV37,154,0,0,0,275,70,252,76,84,98,177,0,443,182,257,101,0,44,306,6,79,23,39,163,169,414,340,521,117,187,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Ideonella_A_591966,Unassigned
ASV38,0,17,0,107,0,0,41,26,0,20,37,0,579,96,0,0,7,53,156,400,533,761,238,517,31,79,43,106,13,343,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV39,0,109,12,43,0,0,31,32,39,436,133,13,97,357,240,309,92,10,0,977,331,120,437,52,104,6,107,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,Unassigned,Unassigned
ASV40,0,304,120,0,278,68,73,27,688,124,105,258,32,33,76,211,129,0,80,111,172,140,395,42,31,46,66,14,427,30,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,Unassigned
ASV41,125,638,311,345,563,203,0,0,631,29,0,0,92,143,60,438,131,86,0,0,0,0,0,0,21,0,0,0,56,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV42,0,274,334,553,230,0,187,62,358,185,55,0,0,152,174,0,360,117,271,366,59,65,45,37,0,0,20,11,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Dokdonella_A,s__Dokdonella_A soli
ASV43,0,0,0,0,38,92,166,94,160,82,217,120,360,0,44,27,117,31,98,366,252,154,708,137,68,182,154,144,0,245,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV44,0,14,0,177,0,0,675,383,16,916,703,123,0,59,75,0,70,0,0,0,38,71,56,138,11,44,16,68,68,33,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Niastella,Unassigned
ASV45,0,0,0,0,0,0,562,782,0,113,571,0,73,42,0,0,46,0,48,215,104,398,75,113,62,207,50,76,28,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV46,0,183,546,347,181,0,0,0,0,0,0,0,1,0,0,0,341,1945,0,0,0,0,0,6,0,28,0,4,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,Unassigned
ASV47,0,63,0,231,164,0,103,72,196,245,136,108,0,203,160,409,286,129,46,0,0,0,0,0,472,81,72,137,523,115,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV48,182,93,164,551,160,183,260,70,185,140,166,51,218,112,62,349,105,65,132,60,47,39,111,55,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_641030,f__Halomonadaceae_641030,g__Halomonas_C_640989,Unassigned
ASV49,0,0,0,0,0,0,776,378,0,396,457,37,198,52,0,0,0,0,0,36,11,117,0,71,75,93,82,288,10,668,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Micromonospora_H_372070,Unassigned
ASV50,0,0,0,0,0,0,76,15,0,9,23,0,0,0,0,17,0,0,6,168,564,1185,175,1365,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,g__Herminiimonas_567435,s__Herminiimonas fonticola
ASV51,0,32,0,0,59,19,156,191,193,193,295,179,189,120,0,0,0,0,65,818,133,83,121,114,107,138,32,183,64,108,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV52,0,32,66,58,0,562,100,67,144,31,15,0,615,0,0,0,82,0,55,242,192,68,145,60,133,122,398,111,21,302,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV53,180,90,0,69,137,91,25,0,96,71,32,44,595,144,99,115,111,54,249,143,53,208,132,154,103,100,113,118,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,s__Devosia_A_501803 humi
ASV54,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225,181,237,137,220,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV55,0,0,140,647,1022,66,175,35,0,107,49,0,152,17,82,281,0,92,32,0,38,29,35,44,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,Unassigned,Unassigned
ASV56,0,91,46,45,113,368,138,147,84,37,242,93,90,164,0,25,255,31,25,133,68,155,279,50,77,95,65,98,45,152,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV57,0,82,0,0,0,0,0,13,0,0,28,0,48,0,0,0,0,0,33,66,547,256,883,745,0,76,333,75,6,64,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Pseudolabrys_502538,s__Pseudolabrys sp001426945
ASV58,132,81,0,0,126,19,72,38,129,17,34,175,319,224,1,0,250,99,108,41,84,63,89,75,374,330,154,48,0,229,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV59,0,540,32,145,238,173,340,210,148,113,83,174,86,82,0,43,0,58,14,0,0,0,14,0,111,55,249,85,134,45,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,Unassigned,Unassigned
ASV60,150,76,153,419,369,25,21,0,109,25,0,344,20,77,0,179,469,167,46,14,22,0,19,6,104,23,68,50,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504723,f__Aestuariivirgaceae,g__Aestuariivirga,s__Aestuariivirga litoralis
ASV61,0,0,0,1413,0,0,0,0,0,0,0,0,0,0,0,762,120,409,0,0,0,0,0,0,0,0,0,123,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__PMNU01,s__PMNU01 sp002952755
ASV62,153,0,0,0,149,68,127,121,53,160,35,191,80,84,0,50,41,114,45,42,150,88,386,152,107,99,133,43,192,42,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV63,0,0,0,3,0,0,253,33,97,339,252,0,35,11,0,24,0,0,166,68,46,83,60,99,38,220,454,64,40,815,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter_487784,Unassigned
ASV64,0,0,0,37,0,0,0,0,0,0,0,0,23,52,0,0,50,0,37,566,337,868,91,312,0,0,0,346,0,47,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis benevestitus
ASV65,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201,0,89,135,0,0,116,32,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV66,86,190,12,34,82,60,0,0,114,0,12,198,0,0,0,163,91,260,632,116,15,29,0,39,40,173,48,74,296,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650612,f__Cellvibrionaceae,g__Cellvibrio,s__Cellvibrio gandavensis
ASV67,0,79,0,393,243,115,144,0,137,130,88,77,134,93,151,187,143,178,67,94,29,46,67,55,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_641030,f__Halomonadaceae_641030,g__Halomonas_C_640989,Unassigned
ASV68,0,30,0,0,0,62,276,297,0,106,364,39,56,0,0,0,0,0,12,135,154,159,39,455,19,90,108,202,0,42,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Niastella,s__Niastella koreensis
ASV69,0,221,117,80,0,0,154,581,127,397,362,21,0,31,0,0,0,0,14,1,220,28,7,162,0,0,0,0,21,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,g__Herminiimonas_567435,s__Herminiimonas fonticola
ASV70,0,0,0,0,0,0,202,93,0,81,98,39,11,0,0,0,0,0,27,82,223,1106,272,308,12,10,0,26,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV71,33,796,371,181,0,0,0,0,0,53,0,18,0,0,169,0,0,0,16,39,49,75,25,170,57,105,92,88,222,89,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales_877923,f__Crocinitomicaceae,g__Fluviicola,s__Fluviicola taffensis
ASV72,2660,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504723,f__Aestuariivirgaceae,g__Aestuariivirga,s__Aestuariivirga litoralis
ASV73,13,33,190,292,452,58,205,54,229,16,91,172,58,0,362,0,0,20,124,30,0,15,0,0,6,6,11,0,37,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597432,f__Rhodocyclaceae,g__Desulfobacillus,Unassigned
ASV74,0,0,0,0,106,0,0,3,0,0,0,43,25,0,0,0,0,53,133,275,546,219,572,401,0,21,33,20,0,60,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales_877923,f__Crocinitomicaceae,g__Fluviicola,s__Fluviicola taffensis
ASV75,0,99,17,0,0,49,57,9,122,21,37,80,187,32,72,26,0,0,354,91,91,103,135,83,170,195,212,78,59,372,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Pseudolabrys_502538,Unassigned
ASV76,0,201,0,373,240,214,75,44,124,122,11,27,90,0,0,82,0,97,78,72,110,31,57,0,34,36,185,108,43,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597441,f__Methylophilaceae,g__Methylotenera_A_557637,Unassigned
ASV77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,903,201,58,249,0,0,30,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis benevestitus
ASV78,0,0,15,62,0,0,0,0,120,67,41,203,201,0,16,125,107,74,135,0,0,1083,9,46,0,0,0,84,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Actinoplanes,Unassigned
ASV79,0,0,0,35,0,357,520,248,0,124,298,212,26,128,83,0,0,0,9,0,5,0,7,0,29,17,191,6,55,89,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Tardiphaga,s__Tardiphaga robiniae
ASV80,26,46,0,182,101,47,34,88,0,11,32,217,527,126,209,0,135,42,39,40,114,61,45,47,0,18,57,47,20,64,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Dokdonella_A,Unassigned
ASV81,0,218,97,89,0,4,30,40,258,49,86,154,0,54,162,0,165,113,193,30,35,19,0,29,51,29,269,20,240,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV82,191,0,30,0,14,326,38,30,86,9,79,670,181,221,0,0,0,78,28,23,11,15,0,0,71,104,41,138,20,126,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV83,0,19,0,0,0,183,207,338,28,107,194,19,215,68,280,0,0,17,7,68,94,31,6,201,17,53,74,99,2,40,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Niastella,s__Niastella koreensis
ASV84,0,0,0,0,0,0,110,15,0,0,0,70,83,50,0,0,0,0,24,0,46,1043,0,95,194,46,18,351,69,135,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_580492,g__Paraburkholderia_580243,s__Paraburkholderia terricola
ASV85,0,0,0,173,122,111,163,36,0,11,46,23,41,0,0,0,0,17,0,9,38,108,250,559,0,16,575,0,0,26,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_500279,f__Rhizobiaceae_A_500279,g__Neorhizobium,Unassigned
ASV86,175,38,35,24,41,94,14,11,101,45,0,160,122,107,0,150,96,68,108,49,81,45,91,120,174,190,117,17,12,68,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV87,0,0,0,0,0,0,0,0,20,0,8,15,72,16,0,0,24,0,0,17,43,1794,0,40,11,0,5,2,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Actinoplanes,Unassigned
ASV88,0,83,0,0,82,0,56,96,0,259,65,94,48,49,0,28,46,37,646,0,132,44,150,146,28,0,38,2,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV89,0,265,0,48,207,0,0,392,0,35,208,0,0,0,54,25,33,4,110,0,15,208,0,93,6,41,0,0,383,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501059,f__Rhizobiaceae_A_501059,g__Pararhizobium,Unassigned
ASV90,0,0,0,0,0,0,47,20,0,9,30,0,195,112,0,81,0,0,193,164,267,211,250,167,0,3,463,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV91,0,53,129,250,128,77,138,22,163,82,85,105,197,62,0,18,98,23,214,36,28,17,106,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_580492,g__Ralstonia,s__Ralstonia pickettii_B
ASV92,55,52,179,28,507,385,0,0,0,0,0,0,240,246,122,0,50,0,42,0,0,0,0,0,0,15,0,78,0,130,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
ASV93,14,48,0,0,39,0,18,0,93,37,50,40,537,292,123,173,0,153,39,0,24,0,0,0,310,131,0,0,59,36,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Piscinibacter,Unassigned
ASV94,0,36,0,43,0,0,55,28,0,0,0,0,20,0,0,18,0,0,0,249,134,459,665,171,0,0,0,0,52,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV95,0,0,0,0,28,0,43,18,0,0,0,0,36,0,0,0,0,0,68,1278,99,168,72,138,1,14,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis benevestitus
ASV96,0,0,0,26,120,0,102,513,0,62,618,0,0,0,0,0,0,0,0,0,52,123,0,176,0,29,0,171,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales_400645,f__Streptomycetaceae_400641,g__Streptomyces_G_399870,Unassigned
