,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S3_1,S3_2,S3_3,S3_4,S3_5,S3_6,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV7677,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__14-2,Unassigned
ASV7678,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,g__UBA10212,Unassigned
ASV7679,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter_887417,Unassigned
ASV7680,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV7681,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__RBG-16-71-46,f__RBG-16-71-46,g__RBG-16-71-46,Unassigned
ASV7682,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__AKYH767-A,f__2013-40CM-41-45,g__QQVM01,s__QQVM01 sp004295015
ASV7683,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,Unassigned,Unassigned
ASV7684,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,Unassigned,Unassigned
ASV7685,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae_367444,Unassigned,Unassigned
ASV7686,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bdellovibrionota_E,c__Bdellovibrionia_A_470743,o__UBA1018,f__UBA1018,g__GWA1-52-35,s__GWA1-52-35 sp001769805
