,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S3_1,S3_2,S3_3,S3_4,S3_5,S3_6,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,443,342,517,425,589,418,447,421,191,366,641,378,573,537,190,536,428,367,661,805,589,615,586,610,288,395,375,310,524,377,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV2,244,227,296,318,303,199,188,174,163,157,249,270,187,208,84,323,223,210,564,442,420,544,510,414,131,225,165,86,235,220,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV3,341,119,207,296,491,320,305,492,387,271,188,204,206,165,101,233,240,395,119,80,115,84,165,108,124,188,88,174,74,126,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV4,95,165,142,116,70,94,192,120,87,96,124,54,104,307,146,291,178,126,414,311,111,178,84,207,532,443,297,313,365,310,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV5,139,180,191,186,131,72,262,209,393,201,302,134,131,199,101,153,139,211,112,206,163,109,110,107,427,229,217,357,222,345,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV6,176,125,212,163,169,202,145,176,98,118,167,134,150,169,121,213,190,157,285,257,165,241,211,256,123,169,147,115,222,184,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV7,143,127,129,100,94,225,208,172,88,89,107,172,147,143,131,180,242,198,220,319,477,295,332,347,94,165,97,133,155,164,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__Palsa-1233,Unassigned
ASV8,99,120,109,141,138,111,182,196,136,132,120,118,174,179,114,288,189,235,291,240,390,235,291,260,93,122,114,135,167,187,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,Unassigned
ASV9,98,104,110,79,123,126,77,99,156,85,139,148,128,102,192,84,122,121,100,82,235,116,131,123,84,72,100,86,103,131,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,s__GWC2-73-18 sp001794945
ASV10,76,115,82,79,91,86,91,105,127,85,78,135,87,115,136,154,128,124,133,105,107,109,135,107,135,131,123,118,120,104,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV11,89,83,85,85,68,103,78,122,163,94,92,85,114,92,120,84,121,82,81,69,82,84,59,64,105,71,112,123,88,138,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV12,60,143,80,109,110,81,99,115,49,48,79,93,62,99,165,91,95,96,91,87,69,95,107,127,75,142,88,71,118,101,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV13,56,82,83,85,90,72,67,124,94,49,53,147,95,87,43,80,152,138,64,82,78,91,87,126,93,107,111,68,88,106,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__QHBO01,f__QHBO01,g__CF-167,s__CF-167 sp005879775
ASV14,67,51,76,74,77,97,70,115,62,68,79,69,67,97,108,54,84,90,148,78,104,94,88,66,83,121,84,91,89,87,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV15,23,107,43,46,69,63,60,135,71,70,32,88,71,87,79,105,119,87,87,174,57,131,175,228,54,54,98,36,91,95,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_426821,g__OLB17_426821,s__OLB17 sp001567505
ASV16,42,99,47,54,48,49,46,61,50,59,66,57,71,91,94,88,68,81,102,78,91,115,85,83,83,100,69,64,98,72,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV17,178,76,101,185,141,60,67,95,60,63,142,95,50,56,48,78,60,97,47,51,21,30,30,62,51,62,81,48,50,63,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,f__Ilumatobacteraceae,Unassigned,Unassigned
ASV18,115,94,86,109,107,77,66,85,62,72,81,91,79,66,55,105,73,99,66,60,28,45,47,60,59,69,64,82,52,49,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV19,79,94,67,79,83,76,56,73,43,59,61,57,68,66,72,77,83,93,82,72,54,59,72,59,69,102,81,87,80,74,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Gp1-AA122,s__Gp1-AA122 sp003225055
ASV20,76,98,101,55,87,86,81,99,52,70,76,67,62,103,96,87,79,61,50,69,92,97,86,71,21,34,0,36,25,26,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV21,95,48,87,62,76,68,53,58,23,43,79,50,67,55,17,61,47,34,143,126,120,119,119,111,40,58,72,42,74,49,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV22,113,78,126,147,124,150,67,60,19,58,101,29,42,54,19,85,67,21,22,56,9,20,23,13,46,47,98,14,154,102,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV23,104,89,65,143,64,64,71,66,51,79,91,90,67,81,35,78,94,72,44,36,16,32,21,36,41,77,63,51,65,82,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__UBA11740,s__UBA11740 sp003168335
ASV24,42,48,62,59,39,40,32,56,57,31,29,45,77,57,31,76,91,46,162,82,84,120,75,84,46,129,58,52,107,67,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Pseudolabrys_502538,Unassigned
ASV25,47,65,70,62,81,61,86,91,54,65,80,126,65,101,83,112,64,80,39,26,29,26,21,15,82,66,86,74,56,76,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira_C,Unassigned
ASV26,66,60,68,69,76,61,54,49,29,30,73,65,58,85,39,107,73,46,66,95,50,73,66,100,47,69,63,40,71,44,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV27,70,49,53,67,76,54,55,73,94,37,66,75,53,56,41,71,87,47,74,66,184,99,102,87,22,56,26,41,45,37,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,Unassigned
ASV28,80,87,76,90,85,34,77,49,24,46,79,36,28,74,69,66,42,65,64,74,51,72,61,95,88,66,57,101,63,57,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV29,105,78,74,70,117,52,73,94,69,52,42,35,55,56,40,78,49,56,53,61,55,43,62,78,69,61,71,61,52,58,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV30,55,27,53,82,60,50,46,68,40,31,37,51,17,40,12,31,43,24,132,101,89,96,94,84,33,89,43,59,92,44,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,Unassigned,Unassigned
ASV31,91,82,35,46,37,63,59,99,60,50,37,61,34,66,83,44,60,61,48,37,23,32,61,51,64,50,70,29,68,30,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__UBA12499,s__UBA12499 sp001788395
ASV32,65,81,56,90,54,60,55,65,57,41,53,55,52,44,34,43,57,57,62,42,24,27,52,55,46,60,49,60,51,47,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV33,30,76,57,56,49,49,38,48,33,41,25,40,38,51,54,67,46,38,38,43,28,30,41,21,84,90,80,64,100,85,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV34,32,60,35,26,26,26,0,47,0,37,30,22,17,58,26,75,42,32,89,92,43,61,22,75,107,102,72,88,69,48,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV35,55,46,46,70,48,73,65,86,67,31,39,76,51,25,47,54,63,65,23,28,17,21,57,11,52,72,60,50,57,58,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__UBA12499,s__UBA12499 sp001788395
ASV36,55,36,55,47,55,45,42,42,27,27,78,35,61,36,13,60,28,31,89,78,89,73,102,56,13,50,50,26,67,50,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV37,97,58,59,64,62,49,56,45,28,27,60,32,27,37,20,48,22,54,60,54,53,76,57,66,45,58,57,27,54,29,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Lysobacter_A_615544,s__Lysobacter_A_615544 oligotrophicus
ASV38,51,62,40,50,58,25,75,70,34,30,51,48,31,67,114,53,38,41,36,40,37,40,41,60,57,60,62,37,39,52,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV39,23,53,51,29,25,34,37,51,41,22,32,33,39,70,28,102,53,50,73,47,52,56,72,53,55,101,47,48,56,60,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597439,f__Usitatibacteraceae,g__Usitatibacter,Unassigned
ASV40,36,32,20,22,51,64,54,71,31,31,24,42,30,43,50,51,46,68,37,53,46,46,54,60,60,46,73,69,61,88,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_426821,g__OLB17_426821,s__OLB17 sp001567505
ASV41,39,21,57,23,44,27,35,19,15,31,43,18,89,57,19,70,52,36,41,68,89,73,65,79,43,71,44,67,62,49,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV42,35,42,48,52,45,28,58,78,78,56,21,42,64,53,36,64,70,38,29,45,76,48,35,60,31,41,42,62,67,85,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV43,24,31,16,36,28,45,19,44,48,23,34,56,47,46,81,42,49,25,57,63,74,65,41,62,48,46,70,51,51,68,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Bog-209,Unassigned
ASV44,17,91,45,15,50,40,41,70,64,38,31,83,46,47,37,28,55,85,30,79,39,49,68,90,17,17,28,24,26,37,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__Palsa-872,s__Palsa-872 sp003139695
ASV45,2,4,0,1,3,1,6,7,1,8,4,5,21,43,46,33,32,20,222,247,135,207,146,215,5,6,8,0,2,5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV46,0,17,27,13,25,8,43,17,13,33,4,0,11,23,15,53,15,17,21,102,19,25,8,64,281,22,38,378,13,50,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales_877923,f__Flavobacteriaceae,g__Flavobacterium,Unassigned
ASV47,58,92,55,39,26,51,35,20,33,21,45,51,38,41,27,41,36,39,97,50,57,85,82,44,16,34,42,11,29,38,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV48,42,31,25,39,55,48,34,57,59,36,49,48,58,53,31,43,52,55,31,33,43,48,22,21,49,45,47,39,67,53,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV49,30,29,43,45,37,44,48,47,38,32,43,27,38,34,67,34,41,35,50,43,53,53,48,38,48,68,37,40,35,56,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV50,57,49,27,28,34,61,53,46,24,31,31,42,53,43,25,44,64,38,36,83,97,69,83,82,11,24,19,9,32,20,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,Unassigned
ASV51,66,49,28,52,36,38,42,67,33,41,32,35,43,39,21,62,36,41,64,49,34,44,51,33,45,57,24,40,43,37,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV52,26,58,27,41,29,82,39,55,39,37,27,35,27,38,35,41,39,21,69,66,60,60,69,69,26,29,49,29,26,38,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV53,0,66,29,52,39,62,0,0,0,33,43,83,27,50,85,53,63,74,0,35,17,20,0,34,40,73,58,36,70,76,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__UBA12499,s__UBA12499 sp001788395
ASV54,71,48,60,54,51,132,49,79,63,30,74,102,17,24,18,21,35,35,34,25,19,17,27,30,12,30,16,17,31,17,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,s__GWC2-73-18 sp001794945
ASV55,0,31,23,0,0,0,0,0,0,15,17,0,27,38,0,25,18,29,100,107,135,153,175,131,27,62,21,9,67,47,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Luteimonas_B_615714,s__Luteimonas_B_615714 profundi
ASV56,59,71,53,52,74,92,48,47,42,42,32,29,33,48,79,48,54,51,20,22,20,17,14,14,19,26,23,20,19,28,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,Unassigned,Unassigned
ASV57,56,52,33,39,42,60,34,69,41,27,32,35,60,48,73,44,67,44,39,28,37,34,18,33,22,27,22,33,15,18,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV58,41,47,48,45,52,57,29,58,76,40,39,47,44,31,33,42,40,32,28,42,42,28,30,22,25,24,26,51,42,39,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__IMCC26256,f__PALSA-555,g__SHUY01,Unassigned
ASV59,0,59,37,26,31,33,37,59,24,15,32,77,20,52,39,41,43,40,55,77,54,58,82,60,8,34,27,11,36,25,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Palsa-189,s__Palsa-189 sp003223325
ASV60,39,53,36,19,36,68,38,58,29,27,28,36,40,49,38,64,49,63,29,21,19,28,25,19,32,44,50,37,58,56,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV61,21,44,28,17,36,37,33,69,54,21,19,35,45,38,35,43,46,36,40,42,25,48,31,29,49,85,40,94,35,55,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV62,5,22,4,9,13,12,19,0,0,11,5,0,23,12,4,32,20,15,43,121,342,203,101,109,24,20,16,0,48,18,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613062,f__Rhodanobacteraceae_613062,g__Rhodanobacter_613036,Unassigned
ASV63,21,43,25,32,47,31,37,34,28,53,40,21,35,40,34,51,36,31,43,57,34,51,42,45,31,34,34,37,38,64,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,s__Devosia_A_501803 humi
ASV64,17,17,34,14,12,33,16,32,18,16,22,27,61,31,6,49,45,34,79,88,91,111,96,75,9,24,31,6,30,19,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV65,0,30,53,43,35,43,27,0,35,14,27,61,51,37,21,58,76,53,57,44,47,70,50,52,8,22,19,0,13,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1225,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinilabiliaceae,g__JC017,s__JC017 sp004296775
ASV67,30,0,21,48,0,35,67,63,80,43,35,0,27,0,23,44,0,41,21,51,0,18,0,0,122,67,51,89,60,96,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV68,18,24,18,26,22,34,26,39,32,16,28,42,27,36,36,32,33,26,57,45,56,53,40,58,31,48,38,36,39,61,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV69,23,47,44,28,0,12,42,42,38,33,37,20,59,48,26,62,35,62,45,24,18,38,50,46,34,46,29,27,45,39,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Ginsengibacter,s__Ginsengibacter hankyongi
ASV70,48,22,45,23,55,31,22,26,18,25,50,9,27,27,26,24,24,21,65,78,29,68,24,68,31,12,25,29,37,24,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,s__Sphingomicrobium daechungense
ASV71,10,16,34,5,17,51,259,53,13,199,17,3,10,0,12,9,5,14,0,35,7,25,0,24,80,22,29,87,14,61,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_500471,f__Rhizobiaceae_A_500471,g__Agrobacterium,Unassigned
ASV72,40,31,49,29,41,46,37,25,28,26,30,39,32,43,14,38,40,31,28,0,25,33,29,0,45,39,21,52,79,36,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV73,25,16,32,21,36,16,14,37,79,34,42,37,46,30,27,38,32,29,25,16,40,30,15,17,64,22,38,44,54,46,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae_390796,Unassigned,Unassigned
ASV74,26,31,27,40,43,48,28,42,43,29,27,30,20,45,33,39,34,14,54,57,38,22,22,48,16,18,24,33,17,33,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV75,33,47,44,38,43,43,44,47,36,26,38,30,27,42,56,47,36,45,12,0,15,0,0,0,30,62,25,29,38,43,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV76,45,17,25,24,23,20,29,44,66,51,63,23,51,28,22,19,32,27,14,34,27,32,13,13,45,22,30,43,59,42,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae_390796,g__Terrabacter,Unassigned
ASV77,24,37,25,0,0,47,29,32,21,22,23,35,13,32,16,60,45,39,22,64,69,28,69,58,44,30,45,0,44,35,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV78,18,19,22,17,23,38,20,0,18,8,17,19,19,22,10,29,25,18,58,31,140,52,101,74,35,35,31,38,37,34,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,g__UBA10212,Unassigned
ASV79,42,35,61,49,38,34,49,53,40,31,45,26,33,27,17,32,23,19,31,32,36,49,33,37,0,18,21,11,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Luteimonas_B_615714,s__Luteimonas_B_615714 profundi
ASV80,56,0,0,29,34,40,30,45,33,30,84,28,66,34,13,41,30,30,0,0,0,0,19,29,51,26,51,26,47,62,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Geodermatophilaceae,g__Blastococcus,Unassigned
ASV81,25,30,22,15,39,29,31,44,43,26,17,19,26,45,87,26,25,24,46,25,24,21,37,18,39,31,13,42,20,33,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV82,32,50,32,23,54,56,31,41,26,22,37,33,26,37,43,30,22,20,27,35,0,17,10,19,29,37,45,24,34,38,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Z2-YC6860,Unassigned
ASV83,50,29,36,62,87,22,21,38,20,31,38,34,31,22,37,34,25,37,32,27,13,14,7,15,31,25,30,18,42,35,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,Unassigned
ASV84,44,63,37,26,54,20,39,30,35,14,33,58,19,26,21,55,31,50,26,41,42,48,69,70,10,12,9,17,6,4,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA6663,g__SpSt-583,s__SpSt-583 sp011367385
ASV85,32,28,40,27,47,13,42,31,22,18,54,32,35,51,37,35,15,36,45,20,14,28,48,32,16,34,23,17,34,31,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__UTBCD1,s__UTBCD1 sp005883765
ASV86,26,52,38,41,59,27,53,55,49,26,35,37,21,39,33,32,25,29,27,21,0,7,16,21,20,27,44,15,33,38,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,Unassigned,Unassigned
ASV87,24,33,27,33,25,22,36,37,38,13,15,21,25,31,37,42,40,35,56,19,30,22,24,19,23,40,33,23,41,44,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Z2-YC6860,s__Z2-YC6860 sp001579845
ASV88,26,28,0,29,45,78,0,28,0,20,11,36,20,32,12,44,47,22,24,43,61,38,70,49,26,23,29,39,21,34,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV89,31,30,24,27,49,55,37,65,47,25,13,33,31,19,10,0,48,23,23,37,28,28,18,50,16,26,34,0,27,53,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,Unassigned
ASV90,31,46,29,49,24,19,23,29,27,27,47,23,24,24,31,31,31,33,36,0,0,27,26,33,38,33,37,15,31,33,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__UTBCD1,s__UTBCD1 sp005883765
ASV91,40,21,42,44,42,26,28,33,32,22,24,18,33,23,17,25,29,42,10,10,4,14,5,0,37,50,38,54,37,53,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV92,26,37,34,43,30,40,34,41,0,14,13,29,19,32,8,42,16,32,50,56,44,37,30,59,15,14,20,0,22,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV93,18,33,25,22,36,8,18,24,14,11,17,27,0,23,16,24,20,19,46,46,61,35,58,61,37,24,20,40,29,35,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,Unassigned,Unassigned
ASV94,30,31,22,17,23,24,33,47,34,31,36,11,33,32,15,81,54,21,21,14,26,22,23,17,26,28,16,41,19,18,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,Unassigned,Unassigned
ASV95,28,25,12,30,27,68,29,28,19,10,36,61,26,15,14,21,53,24,52,27,20,19,37,17,10,11,23,12,17,22,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,s__GWC2-73-18 sp001794945
ASV96,26,19,34,43,4,8,11,0,5,3,25,10,69,70,47,74,36,56,26,4,9,8,0,0,15,44,29,21,32,21,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__GCA-2746885,s__GCA-2746885 sp002746885
ASV97,24,26,10,22,25,38,20,36,41,25,23,30,29,15,7,21,33,18,26,20,57,35,41,25,36,19,27,21,32,44,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,s__GWC2-73-18 sp001794945
ASV98,16,0,60,0,0,20,52,0,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,25,36,326,31,95,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV99,21,27,24,12,10,15,13,25,14,23,15,24,24,16,12,26,30,15,38,40,63,36,22,23,23,20,23,94,28,46,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV100,143,17,26,42,39,14,99,42,29,54,45,21,23,29,18,24,6,40,11,16,13,8,22,17,11,12,0,0,28,10,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,Unassigned,Unassigned,Unassigned
