,CMA1,CMA2,CMA3,CMA4,CK1,CK2,CK3,CK4,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV230,0,52,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV231,0,0,0,28,2,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV232,0,0,0,0,27,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV233,34,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV234,0,15,32,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV235,0,0,0,0,24,16,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV236,0,0,0,0,0,46,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,Unassigned,Unassigned
ASV237,0,32,0,0,0,13,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV238,0,0,0,0,27,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV239,0,0,0,0,22,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV240,0,0,0,0,0,0,31,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV241,0,42,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV242,0,0,35,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV243,0,36,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV244,0,0,0,25,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV245,0,0,0,0,0,36,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV246,0,0,29,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV247,0,33,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV248,0,0,30,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV249,0,0,0,19,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV250,0,0,0,18,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV251,0,0,0,0,18,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV252,0,0,0,14,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV253,0,0,0,0,0,22,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352
ASV254,0,0,0,13,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV255,0,0,0,0,16,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV256,0,0,0,16,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV257,0,0,0,0,4,13,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV258,0,0,16,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV259,0,0,0,0,0,0,15,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV260,0,16,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00156
ASV261,0,0,0,9,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV262,0,15,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV263,0,15,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV264,0,0,0,7,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV265,0,0,0,12,0,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV266,0,0,0,3,0,9,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV267,0,0,0,0,8,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00308
ASV268,0,0,0,0,11,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352
ASV269,0,12,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV270,0,6,0,0,5,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV271,0,0,0,0,6,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV272,0,0,0,0,0,9,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV273,0,0,0,7,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV274,0,0,0,0,6,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,Unassigned
ASV275,0,0,0,0,10,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV276,0,0,0,0,0,10,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV277,0,10,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV278,0,0,0,4,0,0,0,0,k__Fungi,p__Mucoromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__VTX00245
ASV279,0,0,0,0,8,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV280,0,0,0,0,7,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV281,0,0,0,0,6,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00352
ASV282,0,9,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV283,0,8,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV284,0,8,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV285,0,0,0,3,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV286,0,0,0,5,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV287,0,0,0,6,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV288,0,0,6,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV289,0,0,0,0,4,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV290,0,0,0,0,3,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV291,0,0,0,0,0,7,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV292,0,0,0,0,0,6,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV293,0,0,0,0,0,0,0,4,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV294,0,6,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV295,0,0,5,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
ASV296,0,0,0,5,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV297,3,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV298,0,5,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV299,0,5,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,s__VTX00279
