,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S3_1,S3_2,S3_3,S3_4,S3_5,S3_6,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,3610,13765,12960,6176,7456,10086,7334,6634,6061,4969,5607,10217,9773,12859,7930,8560,12769,17320,10278,15488,10971,12249,13070,14686,9577,16699,14478,19907,15353,13129,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV2,828,1476,1020,900,1208,1633,386,185,557,518,962,835,1214,1062,452,1478,887,1240,955,1245,748,1539,2133,707,1386,1078,309,1175,1170,1030,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082642.09FU
ASV3,141,1552,1419,912,793,1307,745,1173,989,1091,1075,1689,822,554,593,1022,840,475,1433,557,474,631,680,774,571,441,2276,378,829,482,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0232076.09FU
ASV4,321,394,528,1199,557,434,624,725,341,158,636,325,377,779,671,367,791,1600,2904,642,720,492,340,416,534,744,563,440,661,842,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV5,0,1173,0,901,70,0,170,1206,422,418,358,539,1233,418,67,2622,568,190,413,449,406,941,460,334,256,404,57,271,469,634,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV6,0,80,0,26,248,34,1636,1126,906,2274,671,3520,302,285,734,53,46,304,112,33,77,61,133,20,0,0,7,5,8,231,k__Fungi,p__Rozellomycota,c__Rozellomycota_cls_Incertae_sedis,o__Rozellomycota_ord_Incertae_sedis,f__Rozellomycota_fam_Incertae_sedis,g__Rozellomycota_gen_Incertae_sedis,s__Rozellomycota_sp
ASV7,0,0,41,78,0,27,4819,5278,2491,1575,604,73,69,50,0,641,93,12,89,14,7,41,6,11,5,0,0,12,0,37,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Saccharomycetales_gen_Incertae_sedis,s__Saccharomycetales_sp;sh__SH0104247.09FU
ASV8,0,479,221,126,591,452,109,457,97,316,294,195,154,361,1026,397,62,81,235,332,2960,351,305,70,80,95,33,39,74,1650,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV9,0,212,0,308,142,1928,403,189,1213,455,185,190,108,2535,34,285,40,205,0,78,3,235,29,320,162,255,160,54,552,6,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Unassigned,Unassigned
ASV10,0,22,1377,49,791,3222,0,0,0,0,0,0,0,174,264,68,70,33,37,53,4,0,6,1567,1374,68,389,38,518,21,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Bolbitiaceae_gen_Incertae_sedis,s__Bolbitiaceae_sp;sh__SH0195821.09FU
ASV11,207,186,297,114,486,150,171,187,365,365,432,170,576,114,902,164,489,81,49,42,67,74,45,674,320,761,84,1471,332,71,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0125578.09FU
ASV12,0,207,367,395,256,332,377,182,424,239,362,389,550,266,288,445,329,145,127,217,209,91,236,556,241,310,517,230,560,108,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV13,0,260,379,225,219,211,160,330,773,487,493,590,601,79,106,329,359,139,399,331,403,329,400,120,122,141,145,105,246,385,k__Fungi,p__Basidiomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV14,100,76,161,78,219,322,331,753,249,149,288,231,166,908,1369,96,71,129,135,375,25,84,138,145,629,64,780,28,107,134,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,f__GS10_fam_Incertae_sedis,g__GS10_gen_Incertae_sedis,s__GS10_sp;sh__SH0037311.09FU
ASV15,0,0,0,0,0,0,1802,112,0,212,507,20,0,28,16,0,0,0,0,0,5,19,0,361,2527,1391,331,1314,505,0,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Rhizophydiales_gen_Incertae_sedis,s__Rhizophydiales_sp;sh__SH0119470.09FU
ASV16,106,37,73,141,3867,211,52,92,53,78,69,107,128,205,94,240,235,124,73,129,671,54,71,166,67,70,318,31,45,319,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0136622.09FU
ASV17,0,649,434,147,491,44,17,221,322,376,504,180,568,64,290,314,284,167,115,323,232,314,306,300,146,94,354,105,372,134,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_nigrescens;sh__SH0202581.09FU
ASV18,0,112,90,0,252,60,102,107,212,365,171,180,369,38,108,97,135,112,323,458,599,218,1552,160,319,136,404,167,427,417,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_subarcticum;sh__SH0001958.09FU
ASV19,0,371,0,162,0,9,313,70,0,193,94,67,105,779,3724,39,346,13,90,54,43,263,61,148,47,65,0,47,105,84,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV20,0,173,77,98,74,61,322,1462,2255,495,139,158,221,11,41,102,27,42,109,95,90,171,78,90,257,83,414,38,115,41,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariomycetes_ord_Incertae_sedis,f__Sordariomycetes_fam_Incertae_sedis,g__Sordariomycetes_gen_Incertae_sedis,s__Sordariomycetes_sp;sh__SH0012655.09FU
ASV21,123,210,83,26,422,140,127,215,524,399,330,285,351,114,250,227,145,76,225,152,365,404,270,64,49,40,104,38,73,442,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,Unassigned
ASV22,0,126,276,162,458,48,106,206,390,274,237,159,371,172,187,303,152,87,105,101,263,207,63,276,389,144,296,111,210,211,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV23,0,143,325,551,0,0,212,97,21,16,46,37,152,430,987,202,214,456,362,405,82,388,285,91,224,0,0,0,52,140,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__Paraglomus_laccatum;sh__SH0011487.09FU
ASV24,0,2,0,4,20,0,27,7,0,26,29,10,6,5,0,16,0,8,845,567,1262,808,975,5,11,4,0,0,6,858,k__Fungi,p__Rozellomycota,c__Rozellomycota_cls_Incertae_sedis,o__Rozellomycota_ord_Incertae_sedis,f__Rozellomycota_fam_Incertae_sedis,g__Rozellomycota_gen_Incertae_sedis,s__Rozellomycota_sp;sh__SH0183275.09FU
ASV25,0,49,16,0,95,0,402,79,0,20,0,0,7,14,7,2466,0,5,806,680,32,172,131,159,17,0,0,4,20,263,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetales_fam_Incertae_sedis,g__Spizellomycetales_gen_Incertae_sedis,s__Spizellomycetales_sp;sh__SH0184213.09FU
ASV26,730,272,373,152,189,187,197,477,290,480,59,40,158,85,83,149,45,101,34,97,55,203,34,90,54,77,147,48,50,78,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_cucumerina;sh__SH0105366.09FU
ASV27,0,748,225,0,0,148,275,235,214,52,22,90,34,182,413,45,1355,31,0,0,40,64,0,74,82,47,0,46,213,36,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082622.09FU
ASV28,0,171,234,634,135,149,178,55,206,49,63,101,148,442,283,303,229,72,47,96,46,26,71,172,116,172,340,83,70,36,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium_macerans;sh__SH0228764.09FU
ASV29,0,106,414,412,142,142,221,71,209,84,150,171,283,317,328,418,413,170,47,31,12,50,17,28,9,31,66,19,26,22,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV30,0,55,135,0,174,107,431,970,359,560,570,834,50,19,10,105,61,67,0,10,10,31,3,0,0,0,0,0,9,8,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242,0,43,0,0,0,0,0,0,1089,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV32,0,0,0,0,0,0,894,0,0,39,2799,516,0,0,0,0,0,0,0,0,0,68,0,0,17,0,0,0,0,42,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellales_fam_Incertae_sedis,g__Mortierellales_gen_Incertae_sedis,s__Mortierellales_sp;sh__SH0165260.09FU
ASV33,0,100,121,380,85,68,44,264,287,285,39,142,236,211,104,203,154,34,48,75,232,22,49,102,44,87,292,18,110,87,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0107419.09FU
ASV34,159,72,107,135,113,34,59,77,383,269,167,153,343,65,180,69,91,170,101,54,131,130,73,121,75,31,130,38,129,162,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0060642.09FU
ASV35,152,6,0,53,0,14,41,17,0,19,15,93,283,265,150,583,601,132,45,43,43,25,40,297,164,124,54,89,136,19,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV36,2527,0,77,0,0,24,0,28,7,6,178,5,7,67,19,3,0,0,0,0,1,10,10,0,12,0,21,0,0,26,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Leptobacillium,s__Leptobacillium_leptobactrum;sh__SH0029226.09FU
ASV37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,61,137,782,0,931,266,62,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellales_fam_Incertae_sedis,g__Mortierellales_gen_Incertae_sedis,s__Mortierellales_sp;sh__SH0227775.09FU
ASV38,0,79,50,90,0,304,67,0,37,0,392,64,112,127,49,243,0,274,144,154,112,298,191,35,36,85,0,63,0,157,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0081808.09FU
ASV39,0,122,182,249,314,23,98,0,107,55,211,44,503,22,591,70,0,12,31,0,0,115,109,58,0,67,7,0,0,15,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV40,21,71,57,55,17,80,0,35,0,66,914,24,36,216,514,451,87,151,145,50,46,60,0,0,0,0,0,0,0,63,k__Fungi,p__Ascomycota,c__Leotiomycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV41,0,0,0,0,0,39,0,0,0,0,400,0,992,10,0,0,159,16,0,0,0,0,0,0,0,0,0,0,1292,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Pyronemataceae_gen_Incertae_sedis,s__Pyronemataceae_sp;sh__SH0226178.09FU
ASV42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728,0,0,0,262,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0180738.09FU
ASV43,0,4,0,66,62,39,49,183,344,223,298,108,80,33,0,32,54,16,0,29,55,71,80,148,117,16,339,46,93,12,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Nectriaceae_gen_Incertae_sedis,s__Nectriaceae_sp;sh__SH0044099.09FU
ASV44,0,233,0,255,194,236,0,0,0,0,0,0,163,153,163,0,284,240,349,0,0,0,0,0,0,313,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV45,151,254,0,0,0,0,0,20,286,0,179,0,81,0,0,0,0,133,0,12,0,30,17,6,0,8,484,146,405,12,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierellaceae_gen_Incertae_sedis,s__Mortierellaceae_sp;sh__SH0082456.09FU
ASV46,480,0,78,49,0,0,99,70,40,77,56,36,85,50,63,89,23,66,36,130,217,6,62,70,27,50,88,9,85,122,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV47,0,0,437,0,0,38,0,0,172,35,0,0,0,0,0,266,0,348,0,0,0,0,41,98,55,104,0,431,445,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082642.09FU
ASV48,0,0,0,0,0,0,0,0,64,0,1971,0,0,0,0,0,0,0,0,59,25,121,0,0,0,0,0,0,0,80,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,Unassigned,Unassigned,Unassigned
ASV49,0,35,73,107,20,0,122,21,36,62,39,78,57,75,86,98,83,0,75,80,381,122,49,40,24,12,104,10,16,194,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_cladosporioides;sh__SH0163687.09FU
ASV50,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1108,0,0,521,0,0,0,0,0,0,278,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV51,87,186,0,103,244,234,0,0,0,0,0,135,184,0,0,0,248,244,0,0,0,0,0,0,93,314,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,Unassigned
ASV52,0,0,0,0,0,0,198,227,0,1302,0,0,25,5,132,46,104,64,0,0,0,0,6,53,163,62,14,0,56,0,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Kochiomyces,s__Kochiomyces_sp;sh__SH0124008.09FU
ASV53,0,74,116,83,48,127,73,77,133,99,180,158,205,34,37,0,92,0,82,100,23,88,0,54,0,53,32,79,56,18,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__Pleotrichocladium,s__Pleotrichocladium_opacum;sh__SH0052671.09FU
ASV54,102,72,44,112,27,100,43,18,56,193,312,41,43,44,18,57,55,45,175,28,49,216,24,19,30,7,59,19,0,95,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,Unassigned,Unassigned
ASV55,0,63,0,0,469,50,18,26,30,231,62,18,328,17,62,97,70,37,93,33,5,43,23,38,12,33,71,7,77,44,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_rhaphiolepidis;sh__SH0040186.09FU
ASV56,0,101,81,14,131,42,37,42,74,50,163,48,290,40,207,126,38,26,103,70,46,45,0,32,29,26,29,20,72,25,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Nectriaceae_gen_Incertae_sedis,s__Nectriaceae_sp;sh__SH0107893.09FU
ASV57,0,142,56,0,148,92,0,145,285,242,128,41,272,30,0,20,35,45,50,0,6,0,0,41,0,79,0,24,107,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Thelonectria,s__Thelonectria_olida;sh__SH0014171.09FU
ASV58,0,69,18,0,66,0,23,164,207,63,253,113,72,0,75,84,44,0,33,76,54,50,41,133,14,45,8,11,74,25,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_sp;sh__SH0136655.09FU
ASV59,0,0,0,1122,45,35,12,11,4,0,20,12,62,16,20,28,60,3,6,47,25,8,11,9,7,11,0,2,8,12,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cryptococcaceae,g__Cryptococcus,s__Cryptococcus_watticus;sh__SH0042816.09FU
ASV60,0,23,0,0,13,0,78,300,471,329,35,78,39,11,56,18,24,8,68,62,65,44,31,0,8,14,0,2,9,54,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Mrakia,s__Mrakia_frigida;sh__SH0101080.09FU
ASV61,0,68,58,69,229,67,0,0,29,40,0,35,254,74,120,145,130,74,0,0,147,0,0,19,34,0,19,0,65,59,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0111011.09FU
ASV62,0,151,54,32,0,0,0,0,76,42,43,232,29,11,0,57,31,32,59,105,11,38,489,4,13,0,0,24,0,97,k__Fungi,p__Basidiomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV63,0,0,0,0,150,0,8,0,0,1072,103,0,19,107,0,0,0,413,0,0,0,0,0,37,0,21,0,0,86,0,k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,f__Rhizophlyctidaceae,g__Rhizophlyctis,s__Rhizophlyctis_rosea;sh__SH0191580.09FU
ASV64,0,29,0,0,10,40,20,40,23,24,16,40,11,22,0,15,0,0,320,127,137,269,303,0,5,0,0,0,0,230,k__Fungi,p__Rozellomycota,c__Rozellomycota_cls_Incertae_sedis,o__Rozellomycota_ord_Incertae_sedis,f__Rozellomycota_fam_Incertae_sedis,g__Rozellomycota_gen_Incertae_sedis,s__Rozellomycota_sp;sh__SH0174017.09FU
ASV65,0,100,0,0,44,83,0,55,224,46,92,91,95,14,177,57,99,0,17,34,201,16,18,28,25,0,0,14,17,48,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV66,0,0,35,0,0,0,44,0,0,19,9,0,0,35,5,89,59,8,884,11,29,451,0,0,5,0,0,29,34,136,k__Fungi,p__Chytridiomycota,c__Rhizophlyctidomycetes,o__Rhizophlyctidales,f__Rhizophlyctidaceae,g__Rhizophlyctis,s__Rhizophlyctis_rosea;sh__SH0099054.09FU
ASV67,0,25,0,966,0,0,0,100,99,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV68,0,0,21,138,24,6,0,33,203,70,44,141,95,55,137,76,116,54,0,6,15,0,49,36,0,79,0,36,131,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_intermedia;sh__SH0104845.09FU
ASV69,0,0,0,0,0,0,28,0,0,0,113,0,0,499,0,743,0,18,0,0,0,6,0,11,29,0,0,0,164,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV70,0,162,0,154,192,0,0,0,0,0,0,113,0,0,0,0,118,288,153,0,0,0,0,0,0,230,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV71,0,65,14,0,46,69,43,47,79,91,83,23,40,9,53,21,68,16,37,41,81,84,53,46,18,29,17,14,19,144,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,s__Exophiala_salmonis;sh__SH0101968.09FU
ASV72,0,218,51,0,98,300,12,30,0,0,0,0,46,87,0,180,23,0,0,0,0,0,58,17,51,58,136,0,0,39,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0204716.09FU
ASV73,0,0,0,0,0,0,0,28,0,37,0,19,0,134,28,16,0,0,178,80,215,451,70,0,0,0,0,0,3,94,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,Unassigned,Unassigned,Unassigned
ASV74,0,0,113,27,134,0,72,51,63,42,170,47,62,0,0,31,0,0,0,66,67,0,169,24,21,0,41,34,32,84,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_cucumerina;sh__SH0105366.09FU
ASV75,0,0,63,0,0,0,24,47,179,148,38,86,80,22,8,27,31,0,0,90,307,22,70,4,0,5,18,0,9,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,Unassigned
ASV76,0,15,83,52,134,143,8,0,13,0,10,25,84,92,82,146,123,42,24,13,4,14,5,39,45,21,10,30,27,18,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Cercospora,s__Cercospora_coniogrammes;sh__SH0110004.09FU
ASV77,0,74,29,48,61,92,54,52,98,17,54,139,8,29,13,4,34,0,120,28,31,9,65,11,42,31,0,10,31,6,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_antarctica;sh__SH0232085.09FU
ASV78,0,19,43,0,381,0,0,23,39,61,17,14,103,8,46,61,33,6,20,47,50,55,4,29,0,61,106,14,5,13,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Paraleptosphaeria,s__Paraleptosphaeria_rumicis;sh__SH0230307.09FU
ASV79,0,0,0,0,0,98,0,0,0,0,0,0,52,296,491,44,107,0,32,0,10,12,0,12,13,8,0,19,0,9,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,Unassigned,Unassigned,Unassigned
ASV80,0,0,0,0,0,0,57,71,48,8,10,67,152,109,132,14,11,9,23,194,6,75,191,0,10,0,0,0,5,36,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,f__GS10_fam_Incertae_sedis,g__GS10_gen_Incertae_sedis,s__GS10_sp
ASV81,0,0,0,0,19,0,239,364,79,165,173,211,0,0,0,0,0,0,0,7,0,30,24,0,0,0,0,0,0,4,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0177607.09FU
ASV82,0,0,0,0,0,0,0,0,0,0,0,0,41,319,515,113,153,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Bolbitiaceae_gen_Incertae_sedis,s__Bolbitiaceae_sp;sh__SH0195821.09FU
ASV83,0,42,126,7,112,48,42,10,11,46,41,36,26,32,40,39,27,36,91,34,47,192,48,13,48,8,2,7,7,25,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV84,0,18,44,57,71,0,57,44,39,0,62,47,76,0,0,96,90,0,3,47,0,0,153,45,15,129,34,51,40,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0111011.09FU
ASV85,0,29,141,109,134,16,0,56,220,50,0,38,45,33,21,33,0,29,0,16,25,45,14,29,0,41,12,23,0,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,s__Rhodotorula_graminis;sh__SH0065110.09FU
ASV86,0,57,150,229,0,26,4,13,40,14,87,42,66,10,33,101,0,0,0,0,70,84,26,5,22,0,0,0,0,28,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0186284.09FU
ASV87,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Xylariales_gen_Incertae_sedis,s__Xylariales_sp;sh__SH0056248.09FU
ASV88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,381,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV89,0,0,44,0,54,79,27,14,0,47,23,4,0,41,39,74,42,30,0,32,0,14,52,173,199,35,39,15,50,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0143336.09FU
