,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R5_1,R5_2,R5_3,R5_4,R5_5,R5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,21463,18685,18490,22598,18157,18921,23346,18389,18913,17736,665,21926,19656,17341,20684,18467,22195,9726,15239,13328,20616,18829,18888,14177,21123,18362,19906,23129,22612,3772,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV2,0,0,0,0,0,124,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,6,0,0,115,35,220,9,20,16728,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Itersonilia,s__Itersonilia_pannonica;sh__SH0217375.09FU
ASV3,632,1017,809,155,553,903,162,1056,651,1103,1112,270,803,317,591,537,479,1387,696,177,310,209,347,556,0,8,10,0,0,14,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Thermoascaceae,g__Thermoascus,s__Thermoascus_aurantiacus;sh__SH0136211.09FU
ASV4,353,393,366,328,800,928,172,361,671,666,1416,646,219,274,453,738,369,657,394,192,134,175,190,143,0,0,0,0,4,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Thermomyces,s__Thermomyces_lanuginosus;sh__SH0217367.09FU
ASV5,535,594,507,0,215,0,198,344,432,324,356,193,264,1548,195,175,331,1183,272,114,159,53,233,122,12,0,8,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV6,0,0,0,0,0,0,209,98,0,0,0,0,771,0,0,0,0,0,3169,1323,283,597,0,384,154,237,22,426,155,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV7,0,59,0,0,0,0,0,59,0,0,5746,0,0,0,0,39,0,94,0,12,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Wallemiomycetes,o__Wallemiales,f__Wallemiaceae,g__Wallemia,s__Wallemia_muriae;sh__SH0038649.09FU
ASV8,24,44,60,53,295,419,0,0,73,54,850,59,0,529,0,0,47,102,363,3446,17,0,44,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Bisifusarium,Unassigned
ASV9,128,75,48,30,208,176,40,73,498,93,618,0,139,306,205,487,166,582,52,37,264,108,107,101,51,19,63,13,83,32,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV10,92,675,152,190,484,79,12,259,61,470,284,67,0,59,198,192,29,210,134,49,315,179,24,174,24,21,7,12,65,60,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0107419.09FU
ASV11,0,0,0,0,0,0,140,0,0,46,0,0,230,0,0,0,0,0,0,73,0,135,145,2795,111,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV12,52,131,0,93,177,74,70,340,157,94,289,223,191,172,235,74,55,0,200,117,230,117,152,66,49,45,52,38,116,98,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV13,186,37,0,0,44,0,20,0,0,69,0,172,72,0,83,0,177,159,79,26,33,48,0,20,411,355,778,69,490,121,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium_macerans;sh__SH0228764.09FU
ASV14,0,0,0,0,392,39,0,0,0,0,0,0,562,625,110,1209,110,341,48,0,0,14,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__Thanatephorus_sp;sh__SH0172220.09FU
ASV15,0,0,0,8,42,113,46,112,167,96,96,0,524,320,80,0,0,150,118,50,0,40,0,29,508,359,165,96,112,14,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV16,90,0,0,47,30,0,15,75,0,0,0,0,58,115,256,0,22,216,52,55,13,0,0,39,34,35,48,0,32,1554,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV17,0,178,85,54,47,350,10,95,0,0,126,0,0,484,0,153,0,374,394,477,6,0,0,22,18,0,0,0,0,3,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_caroliniana;sh__SH0053135.09FU
ASV18,60,0,113,0,0,0,0,0,0,0,405,46,0,0,0,0,0,0,104,1587,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_sclerotigenum;sh__SH0227197.09FU
ASV19,0,0,0,0,0,0,0,53,56,67,0,0,0,0,0,0,0,0,0,152,183,109,1883,132,1,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Paraleptosphaeria,s__Paraleptosphaeria_rumicis;sh__SH0230307.09FU
ASV20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,312,537,461,477,363,0,0,0,0,0,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV21,0,0,0,0,0,0,0,0,0,0,0,0,0,265,429,239,532,0,0,0,0,0,0,0,206,0,0,194,0,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV22,0,0,1193,331,0,0,0,0,0,123,215,0,50,58,0,0,0,0,0,0,0,0,0,82,69,121,61,12,6,21,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0138796.09FU
ASV23,0,0,0,0,0,0,63,0,52,0,0,0,12,0,0,0,0,0,0,39,176,1466,44,287,93,32,10,11,37,3,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,s__Exophiala_salmonis;sh__SH0101968.09FU
ASV24,58,0,74,229,112,0,14,73,85,57,151,57,120,35,14,146,93,377,131,31,54,7,67,127,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycopsidaceae,g__Saccharomycopsis,s__Saccharomycopsis_fibuligera;sh__SH0031132.09FU
ASV25,68,46,78,169,142,122,0,113,0,129,414,142,0,91,35,128,13,0,49,48,11,24,81,0,0,0,0,0,0,16,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_ruber;sh__SH0107582.09FU
ASV26,260,57,144,228,62,137,189,0,0,0,0,0,6,59,0,109,63,0,47,82,53,69,154,0,14,0,5,6,14,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_cladosporioides;sh__SH0163687.09FU
ASV27,39,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,118,0,0,16,49,0,0,261,157,454,48,472,118,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,Unassigned
ASV28,107,74,87,0,35,298,21,70,0,47,0,0,0,0,102,54,56,179,58,0,0,56,0,0,78,47,94,13,67,14,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_cucumerina;sh__SH0105366.09FU
ASV29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,531,308,403,52,6,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidiales,f__Mytilinidiaceae,g__Pseudocamaropycnis,s__Pseudocamaropycnis_pini;sh__SH0226566.09FU
ASV30,51,0,82,40,49,0,43,79,216,406,0,0,0,66,0,119,0,69,154,27,0,0,41,33,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Ascomycota_gen_Incertae_sedis,s__Ascomycota_sp;sh__SH0060488.09FU
ASV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Itersonilia,s__Itersonilia_pannonica;sh__SH0217375.09FU
ASV32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1267,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Phialophora,s__Phialophora_foetens;sh__SH0041078.09FU
ASV33,0,0,0,0,0,0,20,57,44,0,0,0,0,0,0,0,0,0,78,67,25,334,68,361,0,0,36,0,92,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV34,0,61,0,0,0,140,0,0,0,0,0,0,43,236,64,152,0,0,82,0,94,78,0,82,66,77,21,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Itersonilia,s__Itersonilia_pannonica;sh__SH0217375.09FU
ASV36,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,740,12,61,0,189,26,14,0,0,43,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,Unassigned,Unassigned
ASV37,0,146,0,0,40,59,0,0,46,111,506,0,0,0,50,0,0,91,54,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Wardomyces,Unassigned
ASV38,44,88,0,0,0,61,0,0,0,0,141,0,51,0,119,0,86,0,0,0,0,77,110,0,0,0,19,10,30,123,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0136622.09FU
ASV39,20,0,0,0,44,0,23,0,0,87,502,0,67,0,161,0,0,0,0,0,0,0,25,0,0,0,0,0,6,3,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Trichosporon,s__Trichosporon_asahii;sh__SH0110755.09FU
ASV40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,534,0,0,22,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV41,0,0,0,0,86,50,0,0,189,0,0,0,37,24,0,0,0,0,0,47,0,100,0,0,31,303,24,40,0,97,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV42,0,119,0,0,37,49,0,0,0,0,346,0,0,79,0,0,0,47,0,0,7,0,0,0,124,56,38,31,8,3,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0060642.09FU
ASV43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,807,0,0,0,0,0,0,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__Paraglomus_laccatum;sh__SH0011487.09FU
ASV44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,371,137,281,23,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidiales,f__Mytilinidiaceae,g__Pseudocamaropycnis,s__Pseudocamaropycnis_pini;sh__SH0226566.09FU
ASV45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,100,221,38,402,13,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_chernovii;sh__SH0013417.09FU
ASV46,0,57,0,90,102,117,0,0,72,0,226,77,25,40,0,0,0,0,83,0,0,0,24,26,0,0,0,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0136622.09FU
ASV47,51,0,247,0,0,0,0,0,0,0,0,0,0,0,0,103,0,168,0,0,0,0,0,0,52,32,135,27,22,69,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0136622.09FU
ASV48,69,58,0,0,0,0,0,0,0,171,0,0,71,23,68,201,51,0,57,32,0,21,0,46,0,0,0,0,0,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV49,0,43,0,0,0,0,0,29,0,0,0,0,0,0,116,181,52,0,0,0,0,0,0,21,76,40,74,6,81,54,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cryptococcaceae,g__Cryptococcus,s__Cryptococcus_watticus;sh__SH0042816.09FU
ASV50,0,0,0,0,0,0,0,128,123,134,0,0,0,0,0,35,77,111,0,72,0,88,91,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_pseudopenaeus;sh__SH0056976.09FU
ASV51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,285,355,107,13,20,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_subarcticum;sh__SH0001958.09FU
ASV52,29,93,7,109,45,13,0,1,118,22,125,63,6,69,9,33,10,36,0,0,41,14,0,10,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Lichtheimiaceae,g__Rhizomucor,s__Rhizomucor_pusillus;sh__SH0028004.09FU
ASV53,0,0,0,0,0,0,381,186,0,43,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiales_fam_Incertae_sedis,g__Atractospora,s__Atractospora_sp;sh__SH0043451.09FU
ASV54,0,0,0,0,66,49,27,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Clitopilus,s__Clitopilus_baronii;sh__SH0213491.09FU
ASV55,0,0,0,0,0,0,28,211,0,0,0,0,121,0,0,0,0,0,0,0,37,105,142,57,0,15,18,13,8,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Nectriaceae_gen_Incertae_sedis,s__Nectriaceae_sp;sh__SH0107893.09FU
ASV56,0,0,45,0,0,0,0,0,57,0,329,0,0,44,55,0,0,0,31,34,0,0,38,23,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Thyrostroma,s__Thyrostroma_cornicola;sh__SH0066087.09FU
ASV57,58,0,270,0,0,0,0,0,65,19,214,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_antarctica;sh__SH0232085.09FU
ASV58,125,0,79,0,28,0,0,13,180,0,0,104,0,0,0,30,0,155,31,0,0,0,0,19,7,0,0,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0071619.09FU
ASV59,0,194,0,59,43,0,44,0,0,120,0,0,105,10,0,37,0,0,0,0,0,59,0,48,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Ascomycota_gen_Incertae_sedis,s__Ascomycota_sp;sh__SH0233147.09FU
ASV60,58,0,0,44,0,0,0,0,342,0,43,0,0,0,54,0,36,0,0,0,0,25,0,39,0,0,0,0,0,0,k__Fungi,p__Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV61,53,0,0,58,63,61,0,0,0,0,0,0,56,55,65,0,56,0,0,0,0,0,0,0,41,0,46,37,0,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,35,145,32,319,31,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_victoriae;sh__SH0056961.09FU
ASV63,0,0,0,0,0,0,0,0,0,0,0,0,36,40,0,0,0,0,0,0,0,84,495,0,29,0,17,0,12,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Dactylonectria,Unassigned
ASV64,0,0,0,0,56,0,0,0,0,0,87,0,194,0,0,84,0,188,0,21,0,44,0,26,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,s__Sarocladium_zeae;sh__SH0015666.09FU
ASV65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,160,0,0,0,0,0,243,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV66,0,0,124,13,0,0,0,81,0,32,0,126,0,55,0,0,25,92,34,0,70,0,22,0,0,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Rhizopodaceae,g__Rhizopus,s__Rhizopus_arrhizus;sh__SH0178909.09FU
ASV67,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,57,0,0,0,253,124,83,13,40,13,k__Fungi,p__Basidiomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV68,36,120,0,0,105,120,0,0,66,51,0,0,61,0,0,0,0,0,0,0,0,0,77,61,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Leptobacillium,s__Leptobacillium_leptobactrum;sh__SH0029226.09FU
ASV69,0,0,0,0,0,65,0,0,39,65,101,41,0,38,0,129,93,0,0,0,0,0,0,0,3,0,0,10,0,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV70,0,0,0,0,0,0,17,57,43,0,214,0,0,0,74,0,0,0,0,0,0,0,0,0,38,33,25,9,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0125578.09FU
ASV71,55,0,0,0,47,0,0,109,0,0,0,92,63,0,39,58,19,0,0,0,0,33,0,0,12,22,0,0,60,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Pseudeurotium,s__Pseudeurotium_hygrophilum;sh__SH0037891.09FU
ASV72,0,0,82,8,0,0,23,0,97,0,138,0,0,57,0,0,0,119,0,0,0,0,0,0,40,43,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_cucumerina;sh__SH0105366.09FU
ASV73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,579,0,0,0,0,0,0,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,Unassigned,Unassigned,Unassigned
ASV74,0,0,37,0,0,0,0,0,0,0,63,0,0,82,0,0,0,170,0,243,0,17,0,0,2,0,4,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_olsonii;sh__SH0228228.09FU
ASV75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Itersonilia,s__Itersonilia_pannonica;sh__SH0217375.09FU
ASV76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,169,149,150,21,2,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0043571.09FU
ASV77,0,0,0,0,0,53,0,0,0,0,14,0,0,76,47,0,0,108,0,261,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV78,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,117,0,0,0,0,0,0,16,34,75,48,53,27,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Thelebolaceae,g__Thelebolus,s__Thelebolus_globosus;sh__SH0037759.09FU
ASV79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,133,0,23,51,45,83,13,222,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Keithomyces,s__Keithomyces_carneus;sh__SH0189143.09FU
ASV80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,104,0,340,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Hymenoscyphus,s__Hymenoscyphus_repandus;sh__SH0077866.09FU
ASV81,135,0,83,0,0,0,0,54,64,0,0,0,0,42,54,37,0,0,33,0,19,0,33,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Thyrostroma,s__Thyrostroma_cornicola;sh__SH0066087.09FU
ASV82,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_heimaeyensis;sh__SH0056963.09FU
ASV83,0,0,0,0,0,0,0,103,0,158,0,0,0,0,0,0,0,0,0,18,0,0,0,271,0,0,0,9,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_rhaphiolepidis;sh__SH0040186.09FU
ASV84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,Unassigned,Unassigned,Unassigned
ASV85,97,0,54,0,0,47,0,140,78,0,0,0,69,68,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,Unassigned
ASV86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,213,105,152,20,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,s__Cladophialophora_cabanerensis;sh__SH0221889.09FU
ASV87,0,0,0,0,0,37,0,65,0,98,114,0,0,0,0,0,0,202,0,0,26,29,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Apiosporaceae,g__Arthrinium,s__Arthrinium_sp;sh__SH0053058.09FU
ASV88,0,0,0,31,0,0,10,0,0,0,0,0,0,35,0,0,0,251,44,0,0,20,41,103,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Setophaeosphaeria,s__Setophaeosphaeria_microspora;sh__SH0072032.09FU
ASV89,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,85,0,0,0,0,0,58,0,0,44,69,37,0,0,7,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_sp;sh__SH0136655.09FU
ASV90,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,16,76,52,98,31,99,43,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_sp;sh__SH0056967.09FU
