,CMA1,CMA2,CMA3,CMA4,CMA5,CMA6,CK1,CK2,CK3,CK4,CK5,CK6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,1457,88,207,64,241,258,321,221,227,996,971,360,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV2,301,805,784,458,481,370,578,462,412,374,555,148,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV3,8,35,11,839,0,0,142,465,11,38,148,2559,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV4,0,0,0,8,0,0,73,25,31,98,210,3367,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV5,250,299,263,209,704,406,212,206,140,204,321,87,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV6,41,225,940,123,9,28,345,705,352,123,277,23,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV7,515,18,7,16,62,116,140,518,362,50,134,1317,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,Unassigned
ASV8,0,0,29,16,0,0,46,164,3421,27,18,14,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV9,245,277,152,412,160,190,294,277,275,163,175,141,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV10,50,51,38,0,1585,198,29,48,64,70,133,99,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV11,397,0,0,0,12,85,280,62,62,984,305,47,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Afipia,Unassigned
ASV12,519,0,0,22,105,238,116,107,149,629,232,110,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter_487784,Unassigned
ASV13,246,245,388,170,309,144,35,64,42,268,65,239,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parablastomonas,s__Parablastomonas arctica
ASV14,344,49,17,42,34,67,222,148,213,586,366,129,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV15,213,214,176,285,70,121,289,298,263,186,112,71,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV16,163,98,71,37,93,96,130,94,65,732,416,57,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,s__Mesorhizobium_F_498388 qingshengii
ASV17,106,110,116,90,84,53,182,118,119,575,334,36,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV18,212,13,33,34,156,202,84,86,97,573,251,101,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,Unassigned
ASV19,77,42,64,36,131,35,191,100,146,213,794,53,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV20,250,105,90,50,55,55,126,82,124,273,365,78,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV21,176,0,0,0,0,83,153,88,144,605,253,67,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV22,23,0,0,0,31,0,104,0,110,398,182,691,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis benevestitus
ASV23,7,0,8,10,171,30,162,537,373,163,144,7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium_A_485959,s__Sphingobium_A_485959 limneticum
ASV24,768,69,168,26,134,63,0,19,0,7,0,58,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
ASV25,97,204,127,190,50,82,205,210,109,141,113,77,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV26,336,172,151,218,59,84,56,36,24,85,118,58,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,g__Neobacillus,Unassigned
ASV27,0,0,0,106,0,0,0,0,0,0,0,1330,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574758,g__Massilia,s__Massilia aurea
ASV28,22,107,256,55,456,163,50,84,31,0,49,14,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,s__Polaromonas ginsengisoli
ASV29,0,0,0,0,0,0,94,86,182,107,1125,31,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV30,0,14,7,0,846,0,43,65,71,48,54,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_500471,f__Rhizobiaceae_A_500471,g__Agrobacterium,Unassigned
ASV31,132,15,4,17,70,49,163,183,118,308,204,34,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV32,0,0,0,12,0,0,138,521,487,180,47,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium_A_485959,Unassigned
ASV33,0,0,0,0,0,0,74,98,43,559,360,24,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV34,94,110,115,31,161,20,67,84,72,151,196,67,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Dokdonella_A,s__Dokdonella_A soli
ASV35,57,127,176,221,43,88,121,148,63,56,79,58,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira_C,Unassigned
ASV36,25,92,72,170,41,74,202,204,185,59,32,60,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__Palsa-1233,Unassigned
ASV37,4,0,10,0,0,0,66,233,413,106,455,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium_A_485959,s__Sphingobium_A_485959 endophyticum
ASV38,205,137,62,36,78,128,60,71,69,97,53,52,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV39,362,128,169,177,126,32,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597432,f__Rhodocyclaceae,g__Desulfobacillus,Unassigned
ASV40,0,0,0,0,20,0,25,0,0,613,201,103,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV41,38,116,78,124,24,31,113,101,93,134,90,87,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Pseudolabrys_502538,Unassigned
ASV42,46,104,97,118,48,83,137,123,106,71,42,18,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV43,127,218,213,61,29,55,37,28,12,20,11,55,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,Unassigned,Unassigned
ASV44,71,72,66,93,53,52,124,166,83,57,83,37,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV45,62,135,138,228,71,54,103,73,55,36,29,15,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV46,59,146,93,49,70,38,63,91,45,124,55,24,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,s__Devosia_A_501803 humi
ASV47,56,107,162,144,61,68,101,91,46,40,0,16,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,g__Bacillus_BD,s__Niallia oryzisoli
ASV48,83,38,42,42,34,35,51,59,55,209,222,28,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV49,63,123,77,210,49,52,79,90,61,47,60,38,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504721,Unassigned,Unassigned,Unassigned
ASV50,6,0,4,8,0,11,102,362,319,68,14,9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Pseudorhodoferax,Unassigned
ASV51,0,0,0,0,0,18,21,27,88,472,57,49,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,g__Herminiimonas_567463,Unassigned
ASV52,92,96,85,199,37,60,43,62,34,54,37,43,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Microlunatus_A_391020,Unassigned
ASV53,90,80,75,119,52,66,72,106,114,33,22,42,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,Unassigned
ASV54,126,69,146,40,76,43,27,29,33,71,42,66,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,Unassigned
ASV55,181,30,32,20,84,33,31,23,15,97,128,45,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales_400645,f__Streptomycetaceae_400641,g__Streptomyces_G_399870,Unassigned
ASV56,0,16,15,19,0,16,99,251,263,77,83,16,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium_A_485959,s__Sphingobium_A_485959 aromaticiconvertens
ASV57,54,79,140,172,61,44,71,56,39,36,23,16,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,g__Bacillus_BD,Unassigned
ASV58,411,30,0,12,63,7,13,36,0,0,0,56,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,Unassigned,Unassigned
ASV59,144,73,59,61,39,55,44,0,0,104,0,139,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV60,34,83,91,116,34,34,162,106,46,47,6,13,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV61,168,90,98,94,62,50,23,19,0,32,22,28,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV62,45,34,0,0,114,560,0,0,71,20,14,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium_A,Unassigned
ASV63,30,0,0,0,0,12,57,12,96,0,310,277,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis benevestitus
ASV64,41,72,89,106,28,40,101,47,79,77,18,8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV65,105,64,66,124,35,47,49,40,28,50,56,30,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-1321_301386,g__Peribacillus_301373,Unassigned
ASV66,0,0,0,0,206,0,84,149,96,18,120,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV67,46,50,32,59,19,32,87,94,79,50,90,52,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Lysobacter_A_615544,s__Lysobacter_A_615544 oligotrophicus
ASV68,0,0,0,81,0,0,0,0,0,0,0,604,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574758,g__Massilia,s__Massilia aurea
ASV69,74,49,49,0,14,38,80,51,53,127,115,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,s__Devosia_A_501803 humi
ASV70,11,0,0,0,60,214,89,92,122,36,112,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,Unassigned
ASV71,63,23,9,0,0,41,61,68,66,129,128,62,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV72,26,178,178,200,23,65,13,3,6,4,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV73,80,19,12,32,39,8,32,22,0,210,59,61,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,Unassigned,Unassigned,Unassigned,Unassigned
ASV74,0,325,128,49,112,26,0,16,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Rhizobacter_590950,s__Rhizobacter sp000799305
ASV75,54,7,0,0,11,0,72,12,34,163,269,18,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Phyllobacterium_498581,Unassigned
ASV76,96,46,108,44,32,30,20,57,0,33,39,40,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV77,18,44,21,51,93,338,14,18,27,16,11,13,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_A,f__Planococcaceae,g__Paenisporosarcina_303918,s__Paenisporosarcina sp000411295
ASV78,145,44,0,75,5,11,52,0,0,133,0,102,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_580492,g__Paraburkholderia_580243,s__Paraburkholderia terricola
ASV79,23,26,32,66,27,24,76,112,57,59,50,52,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV80,31,84,62,89,60,38,60,40,48,32,26,43,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV81,32,71,87,69,28,49,86,42,18,39,17,27,d__Bacteria,p__Actinobacteriota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV82,0,0,0,0,0,0,52,34,0,47,123,349,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV83,0,0,0,0,19,0,31,181,62,91,204,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV84,18,97,50,56,43,31,64,49,66,57,34,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV85,0,0,0,0,0,0,0,0,0,0,0,542,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574758,g__Massilia,s__Massilia aurea
ASV86,40,89,57,62,52,32,59,45,25,43,22,12,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Palsa-1315,Unassigned
ASV87,170,79,34,27,120,24,0,0,26,24,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV88,37,16,0,0,81,424,0,0,30,0,8,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium_A,Unassigned
ASV89,151,64,29,30,87,23,20,33,0,13,43,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV90,31,63,59,127,14,29,60,43,29,37,28,15,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV91,0,0,8,0,189,26,21,44,78,24,106,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV92,0,0,0,0,98,11,13,19,26,49,305,9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Pseudoxanthomonas_A_615337,Unassigned
ASV93,129,15,26,9,100,110,18,34,25,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter_487784,Unassigned
ASV94,0,0,0,0,202,0,58,127,40,8,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV95,21,81,21,33,23,29,61,80,80,33,27,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV96,22,65,93,105,36,24,47,35,21,20,0,10,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,Unassigned,Unassigned
ASV97,38,61,37,139,32,43,63,39,21,9,12,14,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Clostridiales,f__Clostridiaceae_222000,g__Clostridium_AD,Unassigned
ASV98,32,56,30,62,25,19,66,84,43,53,15,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV99,0,0,17,0,0,0,55,182,115,93,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium_485351,Unassigned
ASV100,25,72,48,60,16,30,76,49,60,27,13,7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV101,44,61,41,54,19,44,62,54,33,17,29,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV102,31,0,13,17,14,12,119,79,26,29,104,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Peptostreptococcales,f__Peptostreptococcaceae_256921,Unassigned,Unassigned
ASV103,109,82,41,0,43,26,32,30,29,26,28,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV104,21,22,28,87,14,19,128,80,54,21,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV105,38,60,27,91,28,27,54,35,32,19,16,27,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,Unassigned,Unassigned
ASV106,27,46,24,56,20,34,70,47,59,31,29,18,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV107,133,40,50,29,43,30,7,15,18,14,13,11,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV108,0,13,0,0,0,0,37,133,0,14,67,188,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV109,15,61,14,37,46,33,41,61,39,42,47,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV110,88,35,90,11,0,8,0,6,0,74,0,38,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Ideonella_A_591966,Unassigned
ASV111,0,0,0,0,9,0,40,216,95,25,44,3,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_502124,Unassigned
ASV112,0,0,0,0,0,0,0,0,0,0,0,415,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574758,g__Massilia,Unassigned
ASV113,0,0,0,0,20,19,25,40,405,10,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV114,57,72,50,75,28,46,69,0,0,0,0,0,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Palsa-1315,Unassigned
ASV115,19,0,36,0,25,54,84,14,14,14,160,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV116,16,85,42,23,0,29,30,56,72,11,38,6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Piscinibacter,Unassigned
ASV117,21,26,6,14,0,21,13,73,26,36,82,98,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Niastella,Unassigned
ASV118,34,55,40,60,25,27,33,30,27,23,27,13,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV119,28,59,44,55,19,27,75,40,34,11,6,9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597439,f__Usitatibacteraceae,g__Usitatibacter,Unassigned
ASV120,0,0,2,0,0,0,0,0,0,5,19,348,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Beijerinckiaceae,g__Methylobacterium,s__Methylobacterium bullatum
ASV121,22,52,78,43,16,32,53,30,37,24,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597433,f__SG8-39,g__SCGC-AG-212-J23,s__SCGC-AG-212-J23 sp005881595
ASV122,0,13,0,0,64,0,69,122,65,12,47,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,Unassigned,Unassigned
ASV123,0,18,17,50,0,13,90,92,83,32,0,12,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__Palsa-1233,Unassigned
ASV124,30,64,42,53,26,59,25,37,29,13,32,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Luteimonas_B_615714,s__Luteimonas_B_615714 profundi
ASV125,151,26,12,0,22,26,7,18,16,17,24,17,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Ideonella_A_591966,Unassigned
ASV126,44,65,29,56,17,27,51,32,31,30,21,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Pseudolabrys_502538,s__Pseudolabrys sp001426945
ASV127,58,0,28,0,38,25,16,13,0,84,60,21,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV128,0,0,0,0,8,0,61,118,133,25,39,8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Variovorax,s__Variovorax paradoxus_C_587666
ASV129,3,0,0,0,0,0,8,5,0,16,13,290,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Rhodococcus_B,Unassigned
ASV130,95,37,26,16,52,14,15,14,10,16,11,20,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV131,0,0,0,0,91,0,15,67,35,107,21,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV132,0,0,0,0,308,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
